"url","date","time","likes","tweets"
"http://www.eldiario.es/agendapublica/blog/fin-igualdad_6_76002416.html",2012-12-04,"16:17","82","117"
"http://www.eldiario.es/agendapublica/blog/Estructura-social-voto-II_6_75652448.html",2012-12-04,"09:22","44","48"
"http://www.eldiario.es/agendapublica/blog/Puede-politico-ignorando-impacto-crisis_6_75652436.html",2012-12-03,"09:56","77","71"
"http://www.eldiario.es/agendapublica/blog/votan-espanoles-izquierda_6_73202697.html",2012-11-30,"09:50","0","29"
"http://www.eldiario.es/agendapublica/blog/crisis-fin-perdedores-ganadores_6_73202704.html",2012-11-29,"11:08","27","39"
"http://www.eldiario.es/agendapublica/blog/Estructura-social-voto-Espana_6_73202698.html",2012-11-28,"16:02","371","36"
"http://www.eldiario.es/agendapublica/blog/votantes-izquierda_6_73552648.html",2012-11-28,"09:27","82","133"
"http://www.eldiario.es/agendapublica/blog/generacion-perdida_6_73202695.html",2012-11-27,"09:03","99","87"
"http://www.eldiario.es/agendapublica/blog/posible-interpretacion_6_73202692.html",2012-11-26,"15:09","116","48"
"http://www.eldiario.es/agendapublica/blog/Desconexion-social_6_73202688.html",2012-11-26,"10:35","72","43"
"http://www.eldiario.es/agendapublica/blog/Renovar-izquierda-defender-politica_6_72152789.html",2012-11-23,"11:49","36","97"
"http://www.eldiario.es/agendapublica/blog/federalismo-cooperativo_6_71102906.html",2012-11-23,"08:24","50","47"
"http://www.eldiario.es/agendapublica/blog/Europa-Catalunya-Espana-decalogo-interdependencia_6_71452878.html",2012-11-22,"09:29","63","60"
"http://www.eldiario.es/agendapublica/blog/CiU-perderia-elecciones-Escocia_6_70752941.html",2012-11-21,"09:28","0","72"
"http://www.eldiario.es/agendapublica/blog/Catalunya-not-CiU-campana-nadie_6_71102892.html",2012-11-20,"09:35","151","117"
"http://www.eldiario.es/agendapublica/blog/izquierda-catalana-PSOE-gobierno_6_70752926.html",2012-11-19,"09:17","156","72"
"http://www.eldiario.es/agendapublica/blog/Europa-parlamentaria_6_69353069.html",2012-11-17,"07:51","82","88"
"http://www.eldiario.es/agendapublica/blog/Politicas-subterraneas_6_69353079.html",2012-11-16,"12:34","66","133"
"http://www.eldiario.es/agendapublica/blog/Entrevista-Angel-Pascual-Ramsay-actuamos-evitarlo_6_69703032.html",2012-11-16,"09:46","0","135"
"http://www.eldiario.es/agendapublica/blog/Consolidacion-Fiscal-Matando-Enfermo_6_69353071.html",2012-11-15,"16:06","41","46"
"http://www.eldiario.es/agendapublica/blog/jubilado-aleman-gana-Merkel-protege_6_69353065.html",2012-11-15,"09:19","29","36"
"http://www.eldiario.es/agendapublica/blog/14N-huelga_6_69003100.html",2012-11-14,"08:34","5","12"
"http://www.eldiario.es/agendapublica/blog/crisis-eurozona-solucion-problema_6_68653151.html",2012-11-13,"17:35","27","45"
"http://www.eldiario.es/agendapublica/blog/trabajadores-culpables_6_68303177.html",2012-11-12,"19:55","87","182"
"http://www.eldiario.es/agendapublica/blog/alemana-cigarra-espanola-historia-europea_6_68303171.html",2012-11-12,"09:58","13","34"
